Project Reference,Academic Year,Mobility Start Month,Mobility End Month,Mobility Duration,Activity (mob),Field of Education,Participant Nationality,Education Level,Participant Gender,Participant Profile,Special Needs,Fewer Opportunities,GroupLeader,Participant Age,Sending Country Code,Sending City,Sending Organization,Sending Organisation Erasmus Code,Receiving Country Code,Receiving City,Receiving Organization,Receiving Organisation Erasmus Code,Participants
2015-1-PL01-KA102-014912,2015-2016,2015-11,2015-11,26.0,VET learners traineeships in companies abroad,"Hotel, restaurants and catering",PL,??? - ? Unknown ?,Female,Learner,No,No,No,52,PL,Kielce,ZESPOL PLACOWEK SZKOLNO - WYCHOWAWCZYCH,-,DE,Schkeuditz,VITALIS Betreuungsgesellschaft für Modellprojekte mbH,-,1.0
2018-3-PL01-KA105-061234,2019-2020,2019-07,2019-07,6.0,Youth Exchanges - Partner Countries,? Unknown ?,EL,??? - ? Unknown ?,Female,Learner,No,Yes,No,19,EL,Elefsina,Kentro Agapis Elefsinas,-,PL,Marianówka,EUROPEJSKIE FORUM MLODZIEZY STOWARZYSZENIE,-,1.0
2017-1-DE02-KA102-003584,2018-2019,2018-09,2018-11,89.0,VET learners traineeships in companies abroad,Fine arts,DE,ISCED-4 - Post-secondary non-tertiary education,Male,Learner,No,No,No,20,DE,Berlin,OSZ TIEM,-,NO,Hornnes,Setesdal vidaregåande skule,-,1.0
2016-1-SK01-KA103-022200,2017-2018,2017-02,2017-06,135.0,Student mobility for studies between Programme Countries,"Information and Communication Technologies (ICTs), not elsewhere classified",SK,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,20,SK,Komárno,Univerzita J. Selyeho,SK KOMARNO01,HU,MISKOLC,MISKOLCI EGYETEM,HU MISKOLC01,1.0
2018-2-DE04-KA105-016801,2019-2020,2019-01,2019-01,7.0,Mobility of youth workers - Programme Countries,? Unknown ?,ES,??? - ? Unknown ?,Female,Staff,No,Yes,No,23,ES,ELCHE,SAL FUERA ELX,-,TR,Mersin,Demokrasi ve Hukuk Toplulugu,-,1.0
2016-2-DE03-KA101-034956,2018-2019,2018-10,2018-10,5.0,Structured Courses/Training Events,Education,DE,??? - ? Unknown ?,Female,Staff,No,No,No,43,DE,Bruehl,Max Ernst Gymnasium der Stadt Bruehl,-,UK,Hove,The English Language Centre,-,1.0
2015-1-CZ01-KA103-012928,2016-2017,2016-01,2016-06,150.0,Student mobility for studies between Programme Countries,"Business and administration, not further defined",CZ,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,23,CZ,OPAVA,SLEZSKA UNIVERZITA V OPAVE,CZ OPAVA01,FI,OULU,OULUN AMMATTIKORKEAKOULU OY,SF OULU11,1.0
2017-1-RO01-KA105-035715,2018-2019,2018-08,2018-09,8.0,Youth Exchanges - Programme Countries,? Unknown ?,EL,??? - ? Unknown ?,Male,Learner,No,Yes,No,24,EL,Athens,Youthnet Hellas,-,RO,MONTEORU,ASOCIATIA HAIR REDIVIVUS BUZAU,-,1.0
2017-1-SI01-KA102-035342,2019-2020,2019-03,2019-03,7.0,VET learners traineeships in vocational institutes abroad,Hair and beauty services,SI,ISCED-3 - Upper secondary education,Female,Learner,No,No,No,46,SI,Koper,Srednja tehniska sola Koper-Scuola media technica di Capodistria,-,UK,PLYMOUTH,TELLUS EDUCATION GROUP LIMITED,-,1.0
2017-1-DE01-KA103-002987,2017-2018,2017-08,2017-12,115.0,Student mobility for studies between Programme Countries,Education science,DE,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,22,DE,Augsburg,UNIVERSITAET AUGSBURG,D  AUGSBUR01,NO,Trondheim,NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU,N  TRONDHE01,1.0
2017-1-NL01-KA116-034954,2018-2019,2018-11,2019-01,73.0,VET learners traineeships in companies abroad,"Inter-disciplinary programmes and qualifications involving agriculture, forestry, fisheries and veterinary",NL,ISCED-4 - Post-secondary non-tertiary education,Female,Learner,No,No,No,19,NL,ALKMAAR,Stichting Clusius College,-,PT,SILVES,Country Riding Centre,-,1.0
2018-1-FR01-KA103-045870,2018-2019,2018-09,2019-05,268.0,Student mobility for studies between Programme Countries,Electricity and energy,FR,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,22,FR,Grenoble,INSTITUT POLYTECHNIQUE DE GRENOBLE,F  GRENOBL22,FI,Espoo,AALTO KORKEAKOULUSAATIO SR,-,1.0
